layer	group2
V_parvula_str_DNF00876_id_GCA_001553335_1	PP
V_parvula_str_UMB0371_id_GCA_002847925_1	PP
V_parvula_str_AM48_14BH_id_GCA_003464005_1	PP
V_parvula_str_AF04_47_id_GCA_003465965_1	PP
V_parvula_str_KHUD_VP2_id_GCA_003584215_1	PP
V_parvula_str_BIOML_A2_id_GCA_009710775_1	PP
V_parvula_str_1001295B_180824_H5_id_GCA_015549975_1	PP
V_parvula_str_1001216B_150713_F11_id_GCA_015554925_1	PP
V_parvula_str_MCC755_id_GCA_018783925_1	PP
V_parvula_str_K63_id_GCA_019731115_1	PP
V_parvula_str_DFI_7_66_id_GCA_020559585_1	PP
V_parvula_str_DFI_7_67_id_GCA_020559605_1	PP
V_parvula_str_NCTC11810_id_GCA_900186885_1	PP
V_parvula_str_UTDB1_3_id_GCA_002005185_1	PP
V_parvula_str_Veillonella_parvula_BgEED39_id_GCA_901876955_1	PP
V_parvula_str_MGYG_HGUT_01349_id_GCA_902374055_1	PP
V_parvula_str_SKV38_id_GCA_902810435_1	PP
V_parvula_str_ACS_068_V_Sch12_id_GCA_000215025_2	PP
V_parvula_str_ATCC_17745_id_GCA_000177435_1	PP
V_parvula_str_HSIVP1_id_GCA_000448705_1	PP
V_sp_str_3_1_44_id_GCA_000163715_1	PP
V_sp_str_AF13_2_id_GCA_003603295_1	PP
V_sp_str_AF36_20BH_id_GCA_003602765_1	PP
V_sp_str_S13054_11_id_GCA_002959795_1	PP
V_atypica_str_CMW7756B_id_GCA_001546845_1	TD
V_atypica_str_OK5_id_GCA_002082765_1	TD
V_atypica_str_AF36_15BH_id_GCA_003474825_1	TD
V_atypica_str_KHUD_V1_id_GCA_003605975_1	TD
V_atypica_str_DFI_4_11_id_GCA_020559285_1	TD
V_atypica_str_DFI_2_98_id_GCA_020560985_1	TD
V_atypica_str_Veillonella_atypica_BgEED38_id_GCA_901875535_1	TD
V_atypica_str_MGYG_HGUT_01444_id_GCA_902375065_1	TD
V_atypica_str_ACS_049_V_Sch6_id_GCA_000179735_1	TD
V_atypica_str_ACS_134_V_Col7a_id_GCA_000179755_1	TD
V_atypica_str_ATCC_17744_id_GCA_002959915_1	TD
V_dispar_str_DNF00926_id_GCA_001553315_1	TD
V_dispar_str_BIOML_A2_id_GCA_009710825_1	TD
V_dispar_str_1001216B_150713_A10_id_GCA_015547025_1	TD
V_dispar_str_MGYG_HGUT_00214_id_GCA_902364435_1	TD
V_dispar_str_ATCC_17748_id_GCA_000160015_1	TD
V_infantium_str_T11011_4_id_GCA_002959895_1	TD
V_nakazawae_str_T1_7_id_GCA_013393365_1	TD
V_nakazawae_str_DFI_4_35_id_GCA_020593325_1	TD
V_rogosae_str_JCM_15642_id_GCA_002959775_1	TD
V_sp_str_ACP1_id_GCA_000286635_1	TD
V_sp_str_AM51_8BH_id_GCA_003463825_1	TD
V_sp_str_CLA_AA_H247_id_GCA_020687175_1	TD
V_sp_str_F0412_id_GCA_000183505_2	TD
V_sp_str_S12025_13_id_GCA_018406505_1	TD
V_sp_str_S13053_19_id_GCA_002959835_1	TD
V_sp_str_T11011_6_id_GCA_002959755_1	TD
V_sp_str_T14073_2_id_GCA_002959875_1	TD
V_sp_str_T34266_5_id_GCA_002959815_1	TD
V_tobetsuensis_str_Y6_id_GCA_002959935_1	TD
V_tobetsuensis_str_PAGU_1578_id_GCA_005403165_1	TD
V_tobetsuensis_str_PAGU_1579_id_GCA_005403265_1	TD
V_tobetsuensis_str_ATCC_BAA_2400_id_GCA_001078375_1	TD
V_sp_str_CHU110_id_GCA_003992255_1	KG
V_sp_str_CHU594_id_GCA_003992265_1	KG
V_sp_str_CHU732_id_GCA_003992085_1	KG
V_sp_str_CHU740_id_GCA_003992055_1	KG
V_sp_str_CNR_79_14_id_GCA_003992185_1	KG
V_sp_HMT_780_str_F0422_id_GCA_000221605_2	KG
V_sp_str_DNF00869_id_GCA_001553345_1	KG
V_sp_str_VA139_id_GCA_003992005_1	KG
V_sp_str_VA142_id_GCA_003992135_1	KG
V_sp_str_3627_id_GCA_003992195_1	KG
V_sp_str_VA137_id_GCA_003992015_1	KG
V_sp_str_3310_id_GCA_003999875_1	KG
V_sp_str_3913_id_GCA_003992235_1	KG
V_sp_str_3960_id_GCA_003991995_1	KG
V_sp_str_VA141_id_GCA_003992175_1	KG
