SEQ_ID	HMT_ID	Genus	Species	Strain	Contigs	Combined_Size	Habitat	Sequence_Source
SEQF1003	750	Atopobium	rimae	ATCC 49626	9	1626291	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/015/GCA_000174015.1_ASM17401v1
SEQF1006	700	Capnocytophaga	ochracea	F0287	9	2663545	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/985/GCA_000183985.1_ASM18398v1
SEQF1008	700	Capnocytophaga	ochracea	DSM 7271	1	2612925	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/285/GCA_000023285.1_ASM2328v1
SEQF1013	666	Corynebacterium	matruchotii	ATCC 14266	8	2855988	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/375/GCA_000175375.1_ASM17537v1
SEQF1014	530	Cutibacterium	acnes	SK137	1	2495334	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/765/GCA_000025765.1_ASM2576v1
SEQF1016	577	Eikenella	corrodens	ATCC 23834	12	2171245	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/158/615/GCA_000158615.1_ASM15861v1
SEQF1017	759	Peptostreptococcaceae [XI][G-5]	[Eubacterium] saphenum	ATCC 49989	1	1084901	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/161/975/GCA_000161975.1_ASM16197v1
SEQF1018	539	Filifactor	alocis	ATCC 35896	1	1931012	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/163/895/GCA_000163895.2_ASM16389v2
SEQF1019	626	Gemella	haemolysans	ATCC 10379	15	1916192	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/173/915/GCA_000173915.1_ASM17391v1
SEQF1025	659	Mesorhizobium	loti	MAFF303099	3	7596297	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/625/GCA_000009625.1_ASM962v1
SEQF1026	819	Lactobacillus	johnsonii	NCC 533	1	1992676	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/065/GCA_000008065.1_ASM806v1
SEQF1027	821	Haemophilus	ducreyi	35000HP	1	1698955	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/945/GCA_000007945.1_ASM794v1
SEQF1029	111	Parvimonas	micra	ATCC 33270	16	1703872	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/154/405/GCA_000154405.1_ASM15440v1
SEQF1031	38	Olsenella	uli	DSM 7084	1	2051896	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/845/GCA_000143845.1_ASM14384v1
SEQF1032	822	Mycobacterium	tuberculosis	CDC1551	1	4403837	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/585/GCA_000008585.1_ASM858v1
SEQF1033	273	Porphyromonas	endodontalis	ATCC 35406	37	2064508	Oral	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/174/815/GCA_000174815.1_ASM17481v1
SEQF1034	822	Mycobacterium	tuberculosis	H37Rv lab strain	1	4411532	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/955/GCA_000195955.2_ASM19595v2
SEQF1035	823	Mycobacterium	leprae	TN	1	3268203	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/855/GCA_000195855.1_ASM19585v1
SEQF1037	824	Bacillus	anthracis	Ames	1	5227293	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1
SEQF1038	824	Bacillus	anthracis	Ames Ancestor	3	5503926	Unassigned	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/445/GCA_000008445.1_ASM844v1
